id_a,id_b,gene_a,gene_b,shared_20mers,coverage_a,coverage_b
iB_17567,iB_15525,TC034544,TC031985,199,0.7210144927536232,0.9255813953488372
iB_17574,iB_15550,TC014800,TC034710,108,0.46153846153846156,0.5023255813953489
iB_17635,iB_16471,TC000157,TC001583,61,0.3112244897959184,0.5648148148148148
iB_17655,iB_17051,TC016138,TC005293,77,0.6260162601626016,0.6581196581196581
iB_17667,iB_04706,TC004252,TC031620,56,0.5,0.12017167381974249
mRNA_000025,iB_02357,TC014940,TC015766,222,0.8740157480314961,0.4493927125506073
mRNA_000028,iB_16279,TC004225,TC032966,103,0.403921568627451,0.5099009900990099
mRNA_000039,iB_15482,TC000724,TC030990,207,0.5376623376623376,1.0
mRNA_000043,iB_14836,TC031009,TC031083,61,0.3034825870646766,0.5258620689655172
mRNA_000045,iB_09310,TC006440,TC031280,151,0.6801801801801802,0.719047619047619
mRNA_000048,iB_16796,TC005203,TC004077,114,0.5402843601895735,0.397212543554007
mRNA_000060,iB_00242,TC000193,TC001348,474,0.9595141700404858,0.9404761904761905
mRNA_000069,iB_06393,TC005331,TC006800,210,1.0,0.4525862068965517
mRNA_000071,iB_17211,TC002159,TC016114,121,0.5238095238095238,0.555045871559633
mRNA_000076,iB_15898,TC031225,TC031325,116,0.4377358490566038,0.6480446927374302
mRNA_000097,iB_08962,TC031661,TC034204,176,0.37849462365591396,0.8186046511627907
mRNA_000098,iB_09302,TC003256,TC032291,106,0.5047619047619047,0.5221674876847291
mRNA_000099,iB_04361,TC007664,TC010295,123,0.5829383886255924,0.24649298597194388
mRNA_000101,iB_13870,TC034211,TC002103,91,0.2993421052631579,0.8198198198198198
mRNA_000107,iB_14427,TC011153,TC011332,154,0.42896935933147634,0.6390041493775933
mRNA_000113,mRNA_000051,TC035048,TC033485,187,0.8779342723004695,0.7362204724409449
mRNA_000119,iB_03267,TC030937,TC034204,254,0.6864864864864865,0.5369978858350951
mRNA_000126,iB_17042,TC001911,TC002327,164,0.6693877551020408,0.7224669603524229
mRNA_000149,iB_13551,TC007811,TC034645,117,0.4448669201520912,0.5223214285714286
mRNA_000157,iB_16458,TC016145,TC004247,159,0.5955056179775281,0.6186770428015564
mRNA_000162,iB_07459,TC030245,TC031264,239,1.0,0.47326732673267324
mRNA_000166,iB_06368,TC030563,TC031253,300,0.9375,0.6607929515418502
mRNA_000168,iB_01723,TC010659,TC010660,402,0.8893805309734514,1.0
mRNA_000172,iB_04235,TC006902,TC006903,202,1.0,0.49148418491484186
mRNA_000173,iB_08089,TC007616,TC007890,238,0.5162689804772235,0.47128712871287126
mRNA_000194,iB_05969,TC016174,TC031615,495,0.9724950884086444,1.0
mRNA_000199,iB_10472,TC009238,TC033570,144,0.7164179104477612,0.6575342465753424
mRNA_000203,iB_02971,TC000073,TC032776,222,1.0,0.46153846153846156
mRNA_000205,iB_16989,TC034791,TC031199,68,0.6126126126126126,0.2905982905982906
mRNA_000206,iB_08837,TC030970,TC032525,224,1.0,0.43664717348927873
mRNA_000208,iB_16211,TC001905,TC031854,232,0.48132780082987553,1.0
mRNA_000214,iB_05886,TC015742,TC015743,229,1.0,0.5066371681415929
mRNA_000216,iB_17042,TC005154,TC002327,136,0.5862068965517241,0.5991189427312775
mRNA_000226,iB_00799,TC005057,TC031088,409,0.8989010989010989,0.8665254237288136
mRNA_000246,iB_03706,TC004216,TC008506,241,1.0,0.6147959183673469
mRNA_000257,iB_07348,TC031221,TC031862,179,0.8905472636815921,0.3435700575815739
mRNA_000260,iB_14949,TC031798,TC031797,97,0.8362068965517241,0.4110169491525424
mRNA_000276,iB_04042,TC005944,TC006212,412,1.0,0.9217002237136466
mRNA_000280,iB_09325,TC016158,TC016160,218,0.48337028824833705,1.0
mRNA_000280,iB_16615,TC016158,TC016146,99,0.21951219512195122,0.66
mRNA_000281,iB_10560,TC008889,TC009953,170,0.7870370370370371,0.8673469387755102
mRNA_000291,iB_09741,TC003395,TC008898,203,0.4109311740890688,1.0
mRNA_000294,iB_03255,TC001792,TC008492,249,1.0,0.5309168443496801
mRNA_000298,iB_09307,TC005333,TC031292,150,0.35377358490566035,0.7281553398058253
mRNA_000302,iB_01865,TC011552,TC034582,375,0.8081896551724138,1.0
mRNA_000304,iB_11046,TC007615,TC007891,114,1.0,0.3917525773195876
mRNA_000312,iB_07039,TC032555,TC034611,430,0.9168443496801706,0.945054945054945
mRNA_000317,iB_16471,TC000156,TC001583,108,0.6666666666666666,1.0
mRNA_000332,iB_16458,TC016236,TC004247,196,0.4279475982532751,0.7626459143968871
mRNA_000334,iB_16964,TC014231,TC014230,181,0.3875802997858672,0.8960396039603961
mRNA_000338,iB_05938,TC015989,TC034815,124,0.5414847161572053,0.26215644820295986
mRNA_000343,iB_07251,TC011005,TC030898,364,0.6829268292682927,0.7294589178356713
mRNA_000344,iB_01761,TC010912,TC031132,422,0.8828451882845189,0.8068833652007649
mRNA_000350,iB_09716,TC000160,TC030562,208,0.896551724137931,0.9765258215962441
mRNA_000354,iB_17624,TC030977,TC001837,120,0.42704626334519574,0.7017543859649122
mRNA_000360,iB_03921,TC030946,TC035031,175,0.7743362831858407,0.35496957403651114
mRNA_000376,iB_00137,TC000602,TC000982,214,0.9953488372093023,0.4403292181069959
mRNA_000383,iB_08426,TC013084,TC033246,445,0.7712305025996534,0.8811881188118812
mRNA_000386,iB_04902,TC031803,TC031894,377,0.8510158013544018,0.7887029288702929
mRNA_000387,iB_16183,TC005264,TC010982,116,0.39862542955326463,0.5658536585365853
mRNA_000387,mRNA_000224,TC005264,TC008592,205,0.7044673539518901,0.7735849056603774
mRNA_000402,iB_10506,TC004807,TC031712,139,0.6587677725118484,0.6123348017621145
mRNA_000412,iB_04019,TC005834,TC034038,395,0.8077709611451943,0.8624454148471615
mRNA_000415,iB_12563,TC006136,TC010712,229,0.4946004319654428,0.7815699658703071
mRNA_000417,iB_04073,TC006132,TC031270,224,1.0,0.45807770961145194
mRNA_000429,iB_06765,TC016050,TC031910,221,0.4722222222222222,0.6005434782608695
mRNA_000439,iB_12547,TC008599,TC010488,129,0.6386138613861386,0.5352697095435685
mRNA_000442,iB_00694,TC004429,TC004958,386,0.8143459915611815,0.8427947598253275
mRNA_000447,iB_03919,TC005199,TC032704,264,1.0,0.5376782077393075
mRNA_000455,iB_03326,TC003833,TC035031,167,0.8226600985221675,0.35683760683760685
mRNA_000462,iB_03703,TC006906,TC035038,450,0.9127789046653144,0.8704061895551257
mRNA_000480,iB_03703,TC004178,TC035038,281,0.5805785123966942,0.5435203094777563
mRNA_000481,iB_08861,TC006177,TC034820,301,1.0,0.6044176706827309
mRNA_000488,iB_10784,TC032956,TC033893,127,0.5100401606425703,0.6287128712871287
mRNA_000489,iB_04990,TC031349,TC031351,228,0.4245810055865922,0.5574572127139364
mRNA_000490,mRNA_000375,TC031886,TC010305,90,0.8108108108108109,0.4368932038834951
mRNA_000496,iB_04239,TC006929,TC034933,301,0.6336842105263157,0.6270833333333333
mRNA_000497,iB_00513,TC003086,TC031027,159,0.6794871794871795,0.452991452991453
mRNA_000508,iB_16540,TC031736,TC033293,220,0.5152224824355972,0.9282700421940928
mRNA_000510,iB_17585,TC034588,TC032405,199,0.4392935982339956,0.8766519823788547
mRNA_000521,iB_15428,TC015878,TC030932,179,0.3645621181262729,0.7748917748917749
mRNA_000521,iB_17559,TC015878,TC004411,114,0.23217922606924643,1.0
mRNA_000530,iB_17559,TC030952,TC004411,108,0.4909090909090909,0.9473684210526315
mRNA_000532,iB_17049,TC031946,TC031947,117,0.268348623853211,0.5598086124401914
mRNA_000533,iB_13740,TC008559,TC004100,132,0.6376811594202898,0.6197183098591549
mRNA_000538,iB_07796,TC004523,TC004535,314,0.6962305986696231,0.5804066543438078
mRNA_000543,iB_05739,TC015004,TC030908,178,0.7385892116182573,0.3852813852813853
mRNA_000545,iB_15570,TC006014,TC004181,179,0.38085106382978723,1.0
mRNA_000549,iB_01027,TC034029,TC034030,112,0.9824561403508771,0.2986666666666667
mRNA_000556,iB_05181,TC012137,TC012237,426,1.0,0.9200863930885529
mRNA_000564,iB_07375,TC000764,TC032039,312,0.574585635359116,0.5977011494252874
mRNA_000579,iB_07362,TC009333,TC033539,391,0.7773359840954275,0.7476099426386233
mRNA_000581,iB_00407,TC002591,TC031333,205,1.0,0.394990366088632
mRNA_000584,iB_15432,TC004347,TC002020,154,0.6905829596412556,0.7368421052631579
mRNA_000595,iB_04882,TC031775,TC031873,173,0.7723214285714286,0.37044967880085655
mRNA_000597,iB_06504,TC012665,TC034426,248,0.8131147540983606,0.5081967213114754
mRNA_000605,iB_08962,TC001905,TC034204,176,0.34375,0.8186046511627907
mRNA_000615,iB_08581,TC033486,TC035039,460,0.9808102345415778,0.9704641350210971
mRNA_000628,iB_16467,TC004205,TC005037,225,0.4269449715370019,0.8490566037735849
mRNA_000631,iB_13740,TC015874,TC004100,185,0.8851674641148325,0.8685446009389671
mRNA_000634,iB_04230,TC031703,TC033322,324,0.6441351888667992,0.7346938775510204
mRNA_000637,iB_04525,TC005264,TC031014,268,0.5458248472505092,0.5480572597137015
mRNA_000653,iB_15875,TC004867,TC031987,111,0.5414634146341464,0.5311004784688995
mRNA_000656,iB_07402,TC007020,TC016154,410,0.8855291576673866,0.7945736434108527
mRNA_000659,iB_17608,TC006970,TC030916,70,0.1511879049676026,0.6194690265486725
mRNA_000669,mRNA_000619,TC002152,TC000006,91,0.3905579399141631,0.8198198198198198
mRNA_000674,iB_04410,TC007984,TC007985,188,1.0,0.3805668016194332
mRNA_000692,mRNA_000135,TC006071,TC005061,250,0.7692307692307693,0.4921259842519685
mRNA_000706,iB_05947,TC016035,TC031818,242,1.0,0.568075117370892
mRNA_000709,iB_05362,TC012970,TC031847,199,0.40447154471544716,0.5452054794520548
mRNA_000712,iB_06086,TC005119,TC030948,407,0.8189134808853119,0.8925438596491229
mRNA_000715,iB_09147,TC015424,TC015425,140,0.5555555555555556,0.5363984674329502
mRNA_000716,mRNA_000664,TC033501,TC033500,139,0.45874587458745875,0.6650717703349283
mRNA_000718,iB_15857,TC035028,TC031883,182,0.4035476718403548,0.6594202898550725
mRNA_000730,iB_16314,TC004881,TC004506,147,0.2934131736526946,1.0
mRNA_000732,mRNA_000664,TC005082,TC033500,169,0.528125,0.8086124401913876
mRNA_000735,mRNA_000635,TC006960,TC005292,174,0.47540983606557374,0.8130841121495327
mRNA_000738,iB_08480,TC015298,TC015430,298,0.654945054945055,0.5936254980079682
mRNA_000752,iB_09569,TC001407,TC012221,248,0.4901185770750988,1.0
mRNA_000754,iB_10486,TC001727,TC032545,251,0.5540838852097131,1.0
mRNA_000771,iB_04706,TC009799,TC031620,230,0.5927835051546392,0.49356223175965663
mRNA_000774,iB_10499,TC015919,TC015931,190,0.8085106382978723,0.6834532374100719
mRNA_000778,iB_13274,TC033485,TC031935,92,0.20087336244541484,0.8214285714285714
mRNA_000787,iB_14465,TC003868,TC011903,57,0.11046511627906977,0.5
mRNA_000789,iB_03326,TC031891,TC035031,446,0.8643410852713178,0.9529914529914529
mRNA_000801,iB_17624,TC031324,TC001837,136,0.4503311258278146,0.7953216374269005
mRNA_000810,mRNA_000403,TC004225,TC002033,213,0.4251497005988024,0.5272277227722773
mRNA_000819,iB_05917,TC015866,TC035015,423,0.8980891719745223,0.846
mRNA_000830,iB_03197,TC001492,TC031731,227,0.6522988505747126,0.45582329317269077
mRNA_000836,iB_03749,TC001484,TC034993,107,0.5023474178403756,0.21747967479674796
mRNA_000843,mRNA_000164,TC030958,TC031736,198,0.9428571428571428,0.4370860927152318
mRNA_000848,iB_16294,TC002818,TC003662,181,0.3562992125984252,0.900497512437811
mRNA_000859,iB_06961,TC002845,TC005206,145,0.6387665198237885,0.3897849462365591
mRNA_000861,iB_07749,TC031090,TC033904,196,1.0,0.550561797752809
mRNA_000865,iB_16462,TC010605,TC011282,178,0.48633879781420764,1.0
mRNA_000885,iB_06280,TC009980,TC031207,201,1.0,0.4707259953161593
mRNA_000886,iB_15789,TC011800,TC011799,108,0.5,0.7448275862068966
mRNA_000896,iB_04586,TC009068,TC033685,270,0.9507042253521126,0.5578512396694215
mRNA_000897,iB_12723,TC004202,TC012911,190,0.8597285067873304,0.7630522088353414
mRNA_000903,iB_10609,TC012948,TC031904,206,0.3843283582089552,1.0
mRNA_000913,iB_08654,TC009210,TC009598,184,1.0,0.359375
mRNA_000918,iB_03288,TC031882,TC034284,412,0.8784648187633263,0.9135254988913526
mRNA_000924,iB_15596,TC016000,TC002232,77,0.326271186440678,0.6875
mRNA_000938,iB_06907,TC003054,TC003381,401,0.8605150214592274,0.9260969976905312
mRNA_000951,iB_06434,TC005161,TC034295,171,0.7533039647577092,0.375
mRNA_000971,iB_16929,TC005154,TC001858,201,0.8445378151260504,0.8104838709677419
mRNA_000983,iB_08413,TC030001,unknown_iB_08413,214,0.6275659824046921,1.0
mRNA_000986,iB_13742,TC006935,TC005210,202,0.4122448979591837,1.0
mRNA_000992,iB_12606,TC011091,TC011385,108,0.8571428571428571,0.5217391304347826
mRNA_000995,iB_09326,TC030081,TC030989,154,0.7368421052631579,0.7129629629629629
mRNA_001007,iB_04900,TC010710,TC035027,208,0.5012048192771085,0.4378947368421053
mRNA_001008,iB_04445,TC008214,TC032852,328,0.6762886597938145,0.693446088794926
mRNA_001009,iB_15361,TC033170,TC034699,194,0.7854251012145749,0.9023255813953488
mRNA_001014,iB_04172,TC006560,TC034123,431,0.856858846918489,0.9016736401673641
mRNA_001020,iB_09570,TC031855,TC034914,134,0.28210526315789475,0.6203703703703703
mRNA_001020,mRNA_000305,TC031855,TC031218,127,0.2673684210526316,0.5619469026548672
mRNA_001055,iB_15855,TC033008,TC033007,209,0.45336225596529284,0.9126637554585153
mRNA_001062,iB_16454,TC002045,TC034964,203,0.41513292433537835,1.0
mRNA_001084,iB_10609,TC002152,TC031904,130,0.3217821782178218,0.6310679611650486
mRNA_001100,iB_10597,TC006002,TC016185,254,0.5485961123110151,0.8581081081081081
mRNA_001110,iB_10861,TC013082,TC014733,179,0.35236220472440943,0.8647342995169082
mRNA_001125,iB_04528,TC008652,TC010168,426,0.8336594911937377,0.8452380952380952
mRNA_001129,iB_16145,TC015744,TC034743,117,0.5391705069124424,0.5879396984924623
mRNA_001133,iB_12062,TC001692,TC001485,168,0.2876712328767123,0.7241379310344828
mRNA_001141,iB_17042,TC005195,TC002327,148,0.6244725738396625,0.6519823788546255
mRNA_001158,mRNA_001002,TC008104,TC007402,265,1.0,0.5047619047619047
mRNA_001167,mRNA_000331,TC030923,TC031203,354,0.7831858407079646,0.7375
mRNA_001181,iB_06698,TC002240,TC031127,209,0.8565573770491803,0.5757575757575758
mRNA_001190,iB_05607,TC014308,TC014309,209,1.0,0.48267898383371827
mRNA_001196,iB_16963,TC002031,TC004223,168,0.3574468085106383,0.8983957219251337
mRNA_001202,iB_15428,TC016418,TC030932,177,0.3561368209255533,0.7662337662337663
mRNA_001209,mRNA_000382,TC007517,TC007984,218,0.41366223908918404,1.0
mRNA_001221,iB_03960,TC005474,TC034153,303,0.6352201257861635,0.6365546218487395
mRNA_001229,iB_01952,TC001408,TC012222,272,0.5261121856866537,0.7120418848167539
mRNA_001235,iB_08507,TC015548,TC034729,391,0.782,1.0
mRNA_001237,iB_02193,TC013727,TC014070,422,0.9356984478935698,0.8356435643564356
mRNA_001253,iB_16148,TC010558,TC031784,114,0.24890829694323144,0.5
mRNA_001256,iB_04278,TC007112,TC031113,163,0.6877637130801688,0.35357917570498915
mRNA_001263,mRNA_000284,TC030931,TC030962,129,0.6354679802955665,0.602803738317757
mRNA_001282,iB_05955,TC016076,TC033931,392,0.7495219885277247,0.9679012345679012
mRNA_001283,iB_10235,TC031841,TC033481,267,0.55741127348643,1.0
mRNA_001287,mRNA_000664,TC033502,TC033500,139,0.549407114624506,0.6650717703349283
mRNA_001296,iB_10512,TC007780,TC007781,201,0.4036144578313253,1.0
mRNA_001297,iB_05043,TC011477,TC033344,234,1.0,0.5188470066518847
mRNA_001299,iB_03749,TC030895,TC034993,159,0.7361111111111112,0.3231707317073171
mRNA_001300,iB_08316,TC013422,TC014372,354,0.7831858407079646,0.7065868263473054
mRNA_001305,iB_16175,TC002168,TC005791,134,0.5903083700440529,0.9115646258503401
mRNA_001309,iB_09223,TC009715,TC012132,124,0.2678185745140389,0.5876777251184834
mRNA_001320,iB_12172,TC012195,TC005042,111,0.22424242424242424,0.6809815950920245
mRNA_001320,iB_13030,TC012195,TC016325,97,0.19595959595959597,0.6598639455782312
mRNA_001322,iB_16471,TC005287,TC001583,62,0.4806201550387597,0.5740740740740741
mRNA_001325,iB_15363,TC033202,TC034706,234,0.5021459227467812,1.0
mRNA_001328,mRNA_000858,TC033297,TC031886,93,0.2052980132450331,0.6888888888888889
mRNA_001331,iB_03767,TC004488,TC004892,244,1.0,0.6455026455026455
mRNA_001341,iB_04324,TC007399,TC032813,207,1.0,0.48705882352941177
mRNA_001348,iB_06209,TC006077,TC033939,201,1.0,0.4196242171189979
mRNA_001352,mRNA_000833,TC009714,TC009715,106,0.5247524752475248,0.4953271028037383
mRNA_001355,mRNA_000735,TC006145,TC006960,217,0.8346153846153846,0.592896174863388
mRNA_001361,iB_16929,TC010620,TC001858,208,0.4425531914893617,0.8387096774193549
mRNA_001375,iB_07212,TC032862,TC034665,281,1.0,0.5723014256619144
mRNA_001382,iB_14053,TC001993,TC005241,137,0.2555970149253731,0.6782178217821783
